Id,SalePrice
1461,182165.25357480382
1462,176311.75888848526
1463,196986.79289343127
1464,192259.19603434613
1465,294303.2814714884
1466,173809.29756582144
1467,252927.51870050828
1468,202895.46761978755
1469,169839.92954088643
1470,129343.09238889848
1471,177004.01749461482
1472,316602.72088165174
1473,121455.2175481104
1474,214329.9619745874
1475,166883.08158411633
1476,173888.0935117869
1477,174712.353052704
1478,170783.806133472
1479,205453.47694785066
1480,213277.28636588098
1481,329133.76288716856
1482,160593.76928494277
1483,213249.894800817
1484,161465.0621762924
1485,161742.73537985224
1486,260725.591074183
1487,159242.59691274294
1488,310705.49376793986
1489,204723.6131502086
1490,105751.04296710028
1491,138620.96266267414
1492,121569.57775883214
1493,187984.67700361402
1494,237882.282752748
1495,281498.0556164308
1496,303034.2851725485
1497,156882.6554663832
1498,189473.1280314062
1499,156969.03469824267
1500,115216.31190214795
1501,160860.69717990828
1502,187347.60816510848
1503,190878.11068337725
1504,170591.14800443256
1505,156157.09686254722
1506,252633.4367494391
1507,246553.05750574812
1508,225293.56971428113
1509,136715.64268527727
1510,127274.26660940773
1511,139671.89210995485
1512,114362.14525499416
1513,99027.30270005402
1514,325231.58138822776
1515,145335.49255522585
1516,170436.45271166775
1517,180689.09974657896
1518,148266.3019266614
1519,364062.89869115816
1520,107550.49259830464
1521,165636.88162398257
1522,108671.09022019512
1523,157274.05696022895
1524,129406.48418933817
1525,188907.5984253526
1526,259902.89835791814
1527,208625.70714671176
1528,205307.62879692425
1529,88133.92542127264
1530,248156.27446654148
1531,224197.60870056425
1532,128195.36582319334
1533,161475.24981950142
1534,131777.01060716005
1535,140733.04534876847
1536,84608.12120288145
1537,68064.7645646017
1538,164299.2716185298
1539,208981.35388194292
1540,64580.791502759675
1541,203561.39546626166
1542,135650.9737660532
1543,208811.81807472545
1544,107890.09304993134
1545,152937.56454674795
1546,281524.3380705578
1547,162218.45410492376
1548,152670.62301446486
1549,90928.77346500882
1550,125096.19106124376
1551,99695.9358080714
1552,128604.56919451396
1553,160686.77489997481
1554,186566.1856225246
1555,183422.8230959043
1556,122906.90566108853
1557,185975.24885365635
1558,118255.4919901716
1559,33899.72940035991
1560,130078.30025566125
1561,142056.04109532747
1562,160421.36562053615
1563,124660.56870395364
1564,159572.2585071117
1565,164241.1763993214
1566,261909.10033534362
1567,79875.014517935
1568,128195.14500028233
1569,91218.13706379931
1570,200787.64908489108
1571,155609.70064285246
1572,142543.03288813063
1573,325901.60116221395
1574,206739.75418064313
1575,264540.6684846311
1576,187700.7909838796
1577,155401.29567628296
1578,158418.62651521747
1579,297762.4065201428
1580,203325.04753765173
1581,164512.15663712902
1582,115829.79739132128
1583,188286.58939087053
1584,158907.68159810232
1585,168237.7037148791
1586,67223.15626860224
1587,105369.60837658437
1588,79999.6002664892
1589,120053.12564332352
1590,147816.67919698416
1591,170699.10512152186
1592,201386.63609236816
1593,163334.4827522178
1594,147252.75308174582
1595,152972.7055413361
1596,174171.22623363708
1597,126608.94598225015
1598,207540.34177861258
1599,242047.42207287962
1600,223451.13671698968
1601,79510.35822034511
1602,212110.7446329262
1603,120813.48710748332
1604,232940.517398795
1605,232882.99157681398
1606,147694.9056779343
1607,94809.8298149152
1608,226000.90031597612
1609,176284.26476555679
1610,141791.56410156505
1611,148181.68132397544
1612,295353.84228294145
1613,174874.38764773484
1614,161084.19342872303
1615,108196.31911385083
1616,78950.33852079813
1617,90264.42443218653
1618,215065.36116795347
1619,227099.10243806534
1620,215528.52106670884
1621,168685.82008143154
1622,289480.5150954131
1623,306112.3010771886
1624,119987.65306660312
1625,153738.5045554227
1626,133732.16575592605
1627,209129.6305388488
1628,341603.14813464007
1629,197856.0778089139
1630,231698.6493977838
1631,147753.01749408862
1632,219184.03574080614
1633,234394.97504874424
1634,169876.81963955134
1635,221622.62808137166
1636,205604.58974142966
1637,211321.1109948951
1638,206707.28418664413
1639,381301.43671368214
1640,148023.18467608874
1641,159478.50207261986
1642,203550.99165675056
1643,157485.725640257
1644,229797.80708862294
1645,145784.10062255675
1646,348853.4167986434
1647,168114.50079051673
1648,135408.62071915728
